Provider,Service Name,URL,City,Country,Status,IP Version,Hosting Provider,C Number,Airport Code,Airport Code Number,ISP Name,CDN Type,Zone Name,Region,Parent Region,Latitude,Longitude
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Blumenau,Brazil,,,,,BNU,0,,,,,,-26.826,-49.09
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Blumenau,Brazil,,,,,BNU,0,,,,,,-26.828,-49.088
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Blumenau,Brazil,,,,,BNU,0,,,,,,-26.833,-49.086
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Blumenau,Brazil,,,,,BNU,0,,,,,,-26.834,-49.091
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Blumenau,Brazil,,,,,BNU,0,,,,,,-26.828,-49.094
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Blumenau,Brazil,,,,,BNU,0,,,,,,-26.831,-49.088
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Blumenau,Brazil,,,,,BNU,0,,,,,,-26.832,-49.089
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,,Afghanistan,,,,,HEA,0,,,,,,34.207,62.232
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Kabul,Afghanistan,,,,,KBL,0,,,,,,34.563,69.214
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Kabul,Afghanistan,,,,,KBL,0,,,,,,34.567,69.213
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,,Afghanistan,,,,,KDH,0,,,,,,31.503,65.849
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,,Afghanistan,,,,,MZR,0,,,,,,36.709,67.206
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,,Afghanistan,,,,,UND,0,,,,,,36.669,68.907
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.417,19.72
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.411,19.725
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.416,19.725
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.415,19.722
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.413,19.724
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.415,19.718
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.411,19.718
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.412,19.717
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.414,19.723
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.412,19.724
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.417,19.724
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.413,19.723
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.416,19.716
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.416,19.723
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.418,19.718
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.415,19.719
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.418,19.72
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.417,19.717
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.411,19.721
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.416,19.721
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.418,19.722
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.418,19.718
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.414,19.723
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.414,19.72
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Tirana,Albania,,,,,TIA,0,,,,,,41.419,19.722
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Annabah,Algeria,,,,,AAE,0,,,,,,36.819,7.813
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Annabah,Algeria,,,,,AAE,0,,,,,,36.825,7.811
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Annabah,Algeria,,,,,AAE,0,,,,,,36.818,7.808
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Annabah,Algeria,,,,,AAE,0,,,,,,36.823,7.807
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Annabah,Algeria,,,,,AAE,0,,,,,,36.825,7.811
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Annabah,Algeria,,,,,AAE,0,,,,,,36.826,7.806
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Algiers,Algeria,,,,,ALG,0,,,,,,36.691,3.211
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Algiers,Algeria,,,,,ALG,0,,,,,,36.695,3.22
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Algiers,Algeria,,,,,ALG,0,,,,,,36.695,3.216
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Algiers,Algeria,,,,,ALG,0,,,,,,36.694,3.212
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Algiers,Algeria,,,,,ALG,0,,,,,,36.691,3.218
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Algiers,Algeria,,,,,ALG,0,,,,,,36.688,3.216
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Algiers,Algeria,,,,,ALG,0,,,,,,36.695,3.212
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Algiers,Algeria,,,,,ALG,0,,,,,,36.687,3.218
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Algiers,Algeria,,,,,ALG,0,,,,,,36.689,3.211
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Algiers,Algeria,,,,,ALG,0,,,,,,36.688,3.217
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Algiers,Algeria,,,,,ALG,0,,,,,,36.695,3.215
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Algiers,Algeria,,,,,ALG,0,,,,,,36.695,3.218
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Algiers,Algeria,,,,,ALG,0,,,,,,36.687,3.212
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Algiers,Algeria,,,,,ALG,0,,,,,,36.688,3.216
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Algiers,Algeria,,,,,ALG,0,,,,,,36.692,3.215
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Algiers,Algeria,,,,,ALG,0,,,,,,36.694,3.214
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Batna,Algeria,,,,,BLJ,0,,,,,,35.748,6.306
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Batna,Algeria,,,,,BLJ,0,,,,,,35.748,6.311
Meta,Meta Network Appliance,https://anuragbhatia.com/post/2024/05/facebook-fna-update-2024-and-backbone-analysis/,Bechar,Algeria,,,,,CBH,0,,,,,,31.649,-2.271
