Provider,Service Name,URL,City,Country,Status,IP Version,Hosting Provider,C Number,Airport Code,Airport Code Number,ISP Name,CDN Type,Zone Name,Region,Parent Region,Latitude,Longitude
Google,datacenters,https://peering.google.com/#/infrastructure,Moncks Corner,United States,Active,,,,,0,,,,,,33.195,-80.01
Google,datacenters,https://peering.google.com/#/infrastructure,Zhanghua City,"Taiwan, Province of China",Active,,,,,0,,,,,,24.076,120.545
Google,datacenters,https://peering.google.com/#/infrastructure,Council Bluffs,United States,Active,,,,,0,,,,,,41.259,-95.854
Google,datacenters,https://peering.google.com/#/infrastructure,Effingham County,United States,Active,,,,,0,,,,,,39.059,-88.545
Google,datacenters,https://peering.google.com/#/infrastructure,Dublin,Ireland,Active,,,,,0,,,,,,53.35,-6.26
Google,datacenters,https://peering.google.com/#/infrastructure,Eemshaven,Netherlands,Active,,,,,0,,,,,,53.448,6.85
Google,datacenters,https://peering.google.com/#/infrastructure,Fredericia,Denmark,Active,,,,,0,,,,,,55.565,9.756
Google,datacenters,https://peering.google.com/#/infrastructure,Hamina,Finland,Active,,,,,0,,,,,,60.569,27.188
Google,datacenters,https://peering.google.com/#/infrastructure,Henderson,United States,Active,,,,,0,,,,,,36.03,-114.983
Google,datacenters,https://peering.google.com/#/infrastructure,Jackson County,United States,Active,,,,,0,,,,,,34.769,-85.987
Google,datacenters,https://peering.google.com/#/infrastructure,Kinston,United States,Active,,,,,0,,,,,,35.259,-77.648
Google,datacenters,https://peering.google.com/#/infrastructure,Loudoun County,United States,Active,,,,,0,,,,,,39.098,-77.671
Google,datacenters,https://peering.google.com/#/infrastructure,Mayes County,United States,Active,,,,,0,,,,,,36.305,-95.236
Google,datacenters,https://peering.google.com/#/infrastructure,Middenmeer,Netherlands,Active,,,,,0,,,,,,52.811,4.995
Google,datacenters,https://peering.google.com/#/infrastructure,Midlothian,United States,Active,,,,,0,,,,,,32.482,-96.994
Google,datacenters,https://peering.google.com/#/infrastructure,Montgomery County,United States,Active,,,,,0,,,,,,36.48,-87.379
Google,datacenters,https://peering.google.com/#/infrastructure,New Albany,United States,Active,,,,,0,,,,,,40.081,-82.809
Google,datacenters,https://peering.google.com/#/infrastructure,Papillion,United States,Active,,,,,0,,,,,,41.154,-96.042
Google,datacenters,https://peering.google.com/#/infrastructure,Provincia de Santiago,Chile,Active,,,,,0,,,,,,-33.359,-70.713
Google,datacenters,https://peering.google.com/#/infrastructure,Singapore,Singapore,Active,,,,,0,,,,,,1.357,103.819
Google,datacenters,https://peering.google.com/#/infrastructure,Saint-Ghislain,Belgium,Active,,,,,0,,,,,,50.448,3.82
Google,datacenters,https://peering.google.com/#/infrastructure,Storey County,United States,Active,,,,,0,,,,,,39.457,-119.516
Google,datacenters,https://peering.google.com/#/infrastructure,The Dalles,United States,Active,,,,,0,,,,,,45.602,-121.184
Google,datacenters,https://peering.google.com/#/infrastructure,Inzai,Japan,Active,,,,,0,,,,,,35.815,140.134
Google,pops,https://peering.google.com/#/infrastructure,Melbourne,Australia,Active,,,,,0,,,,,,-37.669,144.839
Google,pops,https://peering.google.com/#/infrastructure,Phoenix,United States,Active,,,,,0,,,,,,33.434,-112.035
Google,pops,https://peering.google.com/#/infrastructure,Laval (administrative region),Canada,Active,,,,,0,,,,,,45.558,-73.73
Google,pops,https://peering.google.com/#/infrastructure,Amsterdam,Netherlands,Active,,,,,0,,,,,,52.37,4.895
Google,pops,https://peering.google.com/#/infrastructure,Ashburn,United States,Active,,,,,0,,,,,,39.044,-77.487
Google,pops,https://peering.google.com/#/infrastructure,Atlanta,United States,Active,,,,,0,,,,,,33.749,-84.388
Google,pops,https://peering.google.com/#/infrastructure,Budapest,Hungary,Active,,,,,0,,,,,,47.498,19.04
Google,pops,https://peering.google.com/#/infrastructure,Buenos Aires,Argentina,Active,,,,,0,,,,,,-34.604,-58.382
Google,pops,https://peering.google.com/#/infrastructure,Chennai,India,Active,,,,,0,,,,,,13.052,80.251
Google,pops,https://peering.google.com/#/infrastructure,Chicago,United States,Active,,,,,0,,,,,,41.878,-87.63
Google,pops,https://peering.google.com/#/infrastructure,Dallas,United States,Active,,,,,0,,,,,,32.78,-96.8
Google,pops,https://peering.google.com/#/infrastructure,Denver,United States,Active,,,,,0,,,,,,39.738,-104.985
Google,pops,https://peering.google.com/#/infrastructure,Dublin,Ireland,Active,,,,,0,,,,,,53.35,-6.26
Google,pops,https://peering.google.com/#/infrastructure,Frankfurt,Germany,Active,,,,,0,,,,,,50.111,8.682
Google,pops,https://peering.google.com/#/infrastructure,Fujairah,United Arab Emirates,Active,,,,,0,,,,,,25.117,56.353
Google,pops,https://peering.google.com/#/infrastructure,Hamburg,Germany,Active,,,,,0,,,,,,53.551,9.994
Google,pops,https://peering.google.com/#/infrastructure,Tsuen Wan District,China,Active,,,,,0,,,,,,22.396,114.109
Google,pops,https://peering.google.com/#/infrastructure,Johannesburg,South Africa,Active,,,,,0,,,,,,-26.204,28.047
Google,pops,https://peering.google.com/#/infrastructure,Kyiv,Ukraine,Active,,,,,0,,,,,,50.45,30.523
Google,pops,https://peering.google.com/#/infrastructure,Kuala Lumpur,Malaysia,Active,,,,,0,,,,,,3.139,101.687
Google,pops,https://peering.google.com/#/infrastructure,Shomolu,Nigeria,Active,,,,,0,,,,,,6.524,3.379
Google,pops,https://peering.google.com/#/infrastructure,Lisbon,Portugal,Active,,,,,0,,,,,,38.722,-9.139
Google,pops,https://peering.google.com/#/infrastructure,City of Westminster,United Kingdom,Active,,,,,0,,,,,,51.509,-0.125
