Provider,Service Name,URL,City,Country,Status,IP Version,Hosting Provider,C Number,Airport Code,Airport Code Number,ISP Name,CDN Type,Zone Name,Region,Parent Region,Latitude,Longitude
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,London,United Kingdom,Active,IPv6,,c033,LHR,1,Virginmedia,ISP,,,,51.467,-0.465
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Seattle,United States,Active,IPv4,CenturyLink Communications,c003,SEA,2,Centurylink,ISP,,,,47.45,-122.308
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Madrid,Spain,Active,IPv4,Netflix Streaming Services Inc.,c029,MAD,1,,IXP,,,,40.498,-3.563
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Amsterdam,Netherlands,Active,IPv4,Netflix Streaming Services Inc.,c078,AMS,1,,IXP,,,,52.306,4.761
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Dallas-Fort Worth,United States,Active,IPv4,Netflix Streaming Services Inc.,c345,DFW,1,,IXP,,,,32.898,-97.037
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,San Jose,United States,Active,IPv4,Netflix Streaming Services Inc.,c002,SJC,6,,IXP,,,,37.359,-121.932
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Halifax,Canada,Active,IPv4,Netflix Streaming Services Inc.,c014,YHZ,1,Bellaliant,ISP,,,,44.881,-63.508
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Lafayette,United States,Active,IPv4,,c001,LFT,1,Suddenlink,ISP,,,,30.207,-91.986
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Naga,Philippines,Active,IPv4,,c001,WNP,1,Convergeict,ISP,,,,13.589,123.274
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Chiang Mai,Thailand,Active,IPv4,,c002,CNX,1,Trueinternet,ISP,,,,18.771,98.967
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Dublin,Ireland,Active,IPv4,,c002,DUB,1,Btireland,ISP,,,,53.418,-6.273
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Fargo,United States,Active,IPv4,,c002,FAR,1,Dcn,ISP,,,,46.917,-96.819
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Vienna,Austria,Active,IPv4,,c002,VIE,1,,IXP,,,,48.108,16.568
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Phoenix,United States,Active,IPv4,,c004,PHX,1,Centurylink,ISP,,,,33.438,-112.009
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Dusseldorf,Germany,Active,IPv4,,c010,DUS,1,,IXP,,,,51.289,6.766
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Ezeiza,Argentina,Active,IPv4,,c010,EZE,4,Prima,ISP,,,,-34.822,-58.535
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Newark,United States,Active,IPv4,,c052,EWR,2,,IXP,,,,40.694,-74.167
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Stockholm,Sweden,Active,IPv4,,c055,ARN,1,,IXP,,,,59.656,17.923
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Dallas-Fort Worth,United States,Active,IPv4,,c117,DFW,3,,IXP,,,,32.897,-97.038
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Miami,United States,Active,IPv4,,c119,MIA,3,,IXP,,,,25.794,-80.29
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,San Jose,United States,Active,IPv4,,c194,SJC,2,,IXP,,,,37.361,-121.93
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Miami,United States,Active,IPv4,,c201,MIA,3,,IXP,,,,25.797,-80.287
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Dallas-Fort Worth,United States,Active,IPv4,,c230,DFW,1,,IXP,,,,32.901,-97.034
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Paris,France,Active,IPv6,,c009,CDG,1,,IXP,,,,49.014,2.551
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Miami,United States,Active,IPv6,,c200,MIA,3,,IXP,,,,25.797,-80.287
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Chicago,United States,Active,IPv6,,c407,ORD,1,,IXP,,,,41.982,-87.901
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,San Jose,United States,Active,IPv6,,c610,SJC,2,,IXP,,,,37.362,-121.93
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Geneva,Switzerland,Active,IPv4,,c001,GVA,1,Swisscom,ISP,,,,46.241,6.112
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Perth,Australia,Active,IPv4,,c001,PER,1,Vodafonehutchison,ISP,,,,-31.944,115.963
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Belo Horizonte,Brazil,Active,IPv4,,c001,PLU,1,Netfacil,ISP,,,,-19.853,-43.953
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Bauru,Brazil,Active,IPv4,,c002,BAU,1,Txfiber,ISP,,,,-22.344,-49.052
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Dublin,Ireland,Active,IPv4,,c003,DUB,2,Btireland,ISP,,,,53.418,-6.273
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Belo Horizonte,Brazil,Active,IPv4,,c004,PLU,1,Century br,ISP,,,,-19.853,-43.953
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Santiago,Chile,Active,IPv4,,c004,SCL,1,Telxius,ISP,,,,-33.392,-70.784
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Brussels,Belgium,Active,IPv4,,c023,BRU,2,Proximus,ISP,,,,50.904,4.487
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Hebron,United States,Active,IPv6,,c001,CVG,7,Cinbell,ISP,,,,39.045,-84.672
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Ribeirao Preto,Brazil,Active,IPv6,,c003,RAO,1,Algar,ISP,,,,-21.137,-47.778
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Lisbon,Portugal,Active,IPv6,,c007,LIS,1,Meo,ISP,,,,38.785,-9.133
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Vancouver,Canada,Active,IPv4,Shaw Communications Inc.,c009,YVR,1,Shaw,ISP,,,,49.195,-123.183
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Pittsburgh,United States,Active,IPv4,Netflix Streaming Services Inc.,c016,PIT,2,,IXP,,,,40.49,-80.235
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Seattle,United States,Active,IPv4,Netflix Streaming Services Inc.,c020,SEA,3,,IXP,,,,47.449,-122.309
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Chicago,United States,Active,IPv6,Netflix Streaming Services Inc.,c070,ORD,3,,IXP,,,,41.979,-87.904
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Campos Dos Goytacazes,Brazil,Active,IPv4,K2 Telecom e Multimidia LTDA ME,c002,CAW,2,K2telecom,ISP,,,,-21.698,-41.301
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Sao Paulo,Brazil,Active,IPv4,Telium Telecomunicacoes Ltda,c002,CGH,1,Telium,ISP,,,,-23.623,-46.654
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Campos Dos Goytacazes,Brazil,Active,IPv6,K2 Telecom e Multimidia LTDA ME,c002,CAW,2,K2telecom,ISP,,,,-21.703,-41.306
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Adelaide,Australia,Active,IPv6,Telstra Corporation Ltd,c004,ADL,1,Telstra,ISP,,,,-34.943,138.533
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Brussels,Belgium,Active,IPv6,,c008,BRU,1,Proximus,ISP,,,,50.897,4.48
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Glasgow,United Kingdom,Active,IPv6,,c010,GLA,1,Sky,ISP,,,,55.875,-4.43
