Provider,Service Name,URL,City,Country,Status,Zone Name,Region,Parent Region,Latitude,Longitude
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Atlanta,United States,Generally Available,us-east-1-atl-1a,,US East (N. Virginia),33.749,-84.39
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Auckland,New Zealand,Generally Available,ap-southeast-2-akl-1a,,Asia Pacific (Sydney),-36.852,174.763
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Bangkok,Thailand,Generally Available,ap-southeast-1-bkk-1a,,Asia Pacific (Singapore),13.752,100.494
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Boston,United States,Generally Available,us-east-1-bos-1a,,US East (N. Virginia),42.355,-71.061
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Buenos Aires,Argentina,Generally Available,us-east-1-bue-1a,,US East (N. Virginia),-34.608,-58.437
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Chicago,United States,Generally Available,us-east-1-chi-1a,,US East (N. Virginia),41.876,-87.624
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Copenhagen,Denmark,Generally Available,eu-north-1-cph-1a,,Europe (Stockholm),55.687,12.57
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Dallas,United States,Generally Available,us-east-1-dfw-1a,,US East (N. Virginia),32.776,-96.797
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Delhi,India,Generally Available,ap-south-1-del-1a,,Asia Pacific (Mumbai),28.627,77.172
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Denver,United States,Generally Available,us-west-2-den-1a,,US West (Oregon),39.739,-104.985
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Hamburg,Germany,Generally Available,eu-central-1-ham-1a,,Europe (Frankfurt),53.55,10.001
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Helsinki,Finland,Generally Available,eu-north-1-hel-1a,,Europe (Stockholm),60.167,24.943
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Houston,United States,Generally Available,us-east-1-iah-1a,,US East (N. Virginia),29.759,-95.368
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Kansas City,United States,Generally Available,us-east-1-mci-1a,,US East (N. Virginia),39.1,-94.578
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Kolkata,India,Generally Available,ap-south-1-ccu-1a,,Asia Pacific (Mumbai),22.573,88.364
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Lagos,Nigeria,Generally Available,af-south-1-los-1a,,Africa (Cape Town),6.455,3.394
