Provider,Service Name,URL,City,Country,Status,Zone Name,Region,Parent Region,Latitude,Longitude
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Ashburn,United States,,,North America,,39.03,-77.47
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Atlanta,United States,,,North America,,33.749,-84.39
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Aurora,United States,,,North America,,41.757,-88.315
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Austin,United States,,,North America,,30.271,-97.744
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Boston,United States,,,North America,,42.355,-71.061
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Calgary,Canada,,,North America,,51.046,-114.058
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Chicago,United States,,,North America,,41.876,-87.624
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Columbus,United States,,,North America,,39.962,-83.001
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Council Bluffs,United States,,,North America,,41.259,-95.852
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Denver,United States,,,North America,,39.739,-104.985
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Dallas,United States,,,North America,,32.776,-96.797
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Houston,United States,,,North America,,29.759,-95.368
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Kansas City,United States,,,North America,,39.1,-94.578
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Las Vegas,United States,,,North America,,36.167,-115.149
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Los Angeles,United States,,,North America,,34.054,-118.243
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Miami,United States,,,North America,,25.774,-80.194
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Minneapolis,United States,,,North America,,44.977,-93.265
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Montreal,Canada,,,North America,,45.503,-73.57
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,New York,United States,,,North America,,40.713,-74.006
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Palo Alto,United States,,,North America,,37.444,-122.16
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Philadelphia,United States,,,North America,,39.953,-75.164
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Phoenix,United States,,,North America,,33.448,-112.074
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Portland,United States,,,North America,,45.52,-122.674
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Salt Lake City,United States,,,North America,,40.76,-111.887
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,San Antonio,United States,,,North America,,29.425,-98.495
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,San Jose,United States,,,North America,,37.336,-121.891
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Santa Clara,United States,,,North America,,37.233,-121.685
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Seattle,United States,,,North America,,47.604,-122.33
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Querétaro,Mexico,,,North America,,20.593,-100.39
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Toronto,Canada,,,North America,,43.653,-79.384
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Vancouver,Canada,,,North America,,49.261,-123.114
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Bogotá,Colombia,,,South America,,4.653,-74.084
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Buenos Aires,Argentina,,,South America,,-34.608,-58.437
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Rio de Janeiro,Brazil,,,South America,,-22.911,-43.209
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Santiago,Chile,,,South America,,-33.438,-70.65
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,São Paulo,Brazil,,,South America,,-23.551,-46.633
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Amsterdam,Netherlands,,,Europe,,52.373,4.892
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Athens,Greece,,,Europe,,37.976,23.735
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Barcelona,Spain,,,Europe,,41.383,2.177
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Berlin,Germany,,,Europe,,52.517,13.389
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Brussels,Belgium,,,Europe,,50.847,4.352
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Bucharest,Romania,,,Europe,,44.436,26.103
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Budapest,Hungary,,,Europe,,47.498,19.04
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Copenhagen,Denmark,,,Europe,,55.687,12.57
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Dublin,Ireland,,,Europe,,53.349,-6.261
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Düsseldorf,Germany,,,Europe,,51.225,6.776
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Frankfurt,Germany,,,Europe,,50.111,8.682
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Geneva,Switzerland,,,Europe,,46.202,6.147
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Hamburg,Germany,,,Europe,,53.55,10.001
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Helsinki,Finland,,,Europe,,60.167,24.943
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Kyiv,Ukraine,,,Europe,,50.45,30.524
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Lisbon,Portugal,,,Europe,,38.708,-9.137
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,London,UK,,,Europe,,51.507,-0.128
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Madrid,Spain,,,Europe,,40.417,-3.704
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Manchester,UK,,,Europe,,53.479,-2.245
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Marseille,France,,,Europe,,43.296,5.37
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Milan,Italy,,,Europe,,45.464,9.19
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Moscow,Russia,,,Europe,,55.75,37.617
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Munich,Germany,,,Europe,,48.137,11.575
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Oslo,Norway,,,Europe,,59.913,10.739
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Paris,France,,,Europe,,48.853,2.348
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Prague,Czechia,,,Europe,,50.087,14.421
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Rome,Italy,,,Europe,,41.893,12.483
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Saint Petersburg,Russia,,,Europe,,59.939,30.316
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Sofia,Bulgaria,,,Europe,,42.698,23.322
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Stockholm,Sweden,,,Europe,,59.325,18.071
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Turin,Italy,,,Europe,,45.068,7.682
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Vienna,Austria,,,Europe,,48.208,16.373
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Warsaw,Poland,,,Europe,,52.232,21.007
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Zagreb,Croatia,,,Europe,,45.843,15.962
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Zürich,Switzerland,,,Europe,,47.374,8.541
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Doha,Qatar,,,Middle East,,25.286,51.526
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Dubai,United Arab Emirates,,,Middle East,,25.074,55.189
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Fujairah,United Arab Emirates,,,Middle East,,25.124,56.336
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Muscat,Oman,,,Middle East,,23.588,58.383
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Tel Aviv,Israel,,,Middle East,,32.085,34.782
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Bangkok,Thailand,,,Asia Pacific,,13.752,100.494
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Busan,South Korea,,,Asia Pacific,,35.18,129.075
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Chennai,India,,,Asia Pacific,,13.084,80.27
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Delhi,India,,,Asia Pacific,,28.627,77.172
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Hong Kong SAR,China,,,Asia Pacific,,22.351,114.185
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Hsinchu,Taiwan,,,Asia Pacific,,24.807,120.969
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Hyderabad,India,,,Asia Pacific,,17.361,78.474
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Jakarta,Indonesia,,,Asia Pacific,,-6.175,106.827
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Kolkata,India,,,Asia Pacific,,22.573,88.364
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Kuala Lumpur,Malaysia,,,Asia Pacific,,3.152,101.694
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Manila,Philippines,,,Asia Pacific,,14.581,120.976
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Mumbai,India,,,Asia Pacific,,19.079,72.878
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Osaka,Japan,,,Asia Pacific,,34.662,135.5
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Seoul,South Korea,,,Asia Pacific,,37.567,126.978
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Singapore,,,,Asia Pacific,,1.357,103.819
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Taipei,Taiwan,,,Asia Pacific,,25.038,121.564
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Tokyo,Japan,,,Asia Pacific,,35.684,139.774
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Auckland,New Zealand,,,Oceania,,-36.852,174.763
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Brisbane,Australia,,,Oceania,,-27.469,153.023
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Canberra,Australia,,,Oceania,,-35.298,149.101
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Melbourne,Australia,,,Oceania,,-37.814,144.963
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Perth,Australia,,,Oceania,,-31.956,115.861
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Sydney,Australia,,,Oceania,,-33.87,151.208
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Johannesburg,South Africa,,,Africa,,-26.205,28.05
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Lagos,Nigeria,,,Africa,,6.455,3.394
Google,Edge Locations,https://cloud.google.com/vpc/docs/edge-locations,Mombasa,Kenya,,,Africa,,-4.051,39.667
